Each row is a particle. Each column is a Frame
15776.000000,15259.000000,14738.000000,14208.000000,13683.000000,13158.000000,12628.000000,12099.000000,11574.000000,11052.000000,10535.000000,10006.000000,9476.000000,8946.968750,8422.000000,7904.000000,7363.000000,6834.000000,6312.000000,5791.000000,5253.000000,4728.000000,4195.000000,3685.000000,3152.000000,2635.000000,2101.000000,1584.000000,1051.000000,509.000000
15776.000000,15259.000000,14738.000000,14208.000000,13683.000000,13158.000000,12628.000000,12099.000000,11574.000000,11052.000000,10535.000000,10006.000000,9476.000000,8946.968750,8422.000000,7904.000000,7363.000000,6834.000000,6312.000000,5791.000000,5253.000000,4728.000000,4195.000000,3685.000000,3152.000000,2635.000000,2101.000000,1584.000000,1051.000000,509.000000
15776.000000,15259.000000,14738.000000,14208.000000,13683.000000,13158.031250,12628.000000,12099.031250,11574.000000,11052.000000,10535.000000,10006.031250,9476.000000,8947.031250,8422.000000,7904.000000,7363.000000,6834.000000,6312.000000,5791.000000,5253.000000,4728.000000,4195.000000,3685.000000,3152.000000,2635.000000,2101.000000,1584.000000,1051.000000,509.000000
15775.343750,15258.375000,14737.406250,14207.406250,13682.406250,13157.468750,12627.562500,12098.593750,11573.562500,11051.562500,10534.562500,10005.625000,9475.593750,8946.718750,8421.718750,7903.593750,7362.593750,6833.750000,6311.750000,5790.750000,5252.875000,4727.875000,4194.875000,3684.875000,3151.875000,2634.906250,2100.906250,1584.000000,1051.000000,509.000000
15775.312500,15258.375000,14737.375000,14207.343750,13682.406250,13157.406250,12627.437500,12098.468750,11573.500000,11051.500000,10534.500000,10005.531250,9475.843750,8946.843750,8421.843750,7903.812500,7362.875000,6833.937500,6311.937500,5790.937500,5252.937500,4727.937500,4194.937500,3684.937500,3151.937500,2634.937500,2101.000000,1584.000000,1051.000000,509.000000
15774.281250,15257.312500,14736.375000,14206.375000,13681.531250,13157.031250,12627.031250,12098.125000,11573.093750,11051.125000,10534.125000,10005.312500,9475.531250,8946.562500,8421.531250,7903.406250,7362.468750,6833.500000,6311.500000,5790.625000,5252.656250,4727.656250,4194.656250,3684.656250,3151.812500,2634.843750,2100.875000,1584.000000,1051.000000,509.000000
15773.437500,15256.875000,14735.937500,14206.000000,13681.156250,13156.437500,12626.468750,12097.500000,11572.687500,11050.937500,10533.937500,10005.031250,9475.125000,8946.125000,8421.156250,7902.875000,7361.937500,6833.187500,6311.218750,5790.375000,5252.375000,4727.406250,4194.406250,3684.593750,3151.656250,2634.656250,2100.875000,1584.000000,1051.000000,509.000000
15773.218750,15256.625000,14735.687500,14206.000000,13681.062500,13156.250000,12626.281250,12097.312500,11572.437500,11050.562500,10533.593750,10004.625000,9474.781250,8945.781250,8421.031250,7902.718750,7361.750000,6832.906250,6310.937500,5790.125000,5252.312500,4727.343750,4194.343750,3684.437500,3151.468750,2634.750000,2100.843750,1584.000000,1051.000000,509.000000
31580.968750,30526.000000,29476.000000,28428.968750,27382.000000,26307.000000,25269.000000,24214.031250,23163.000000,22105.000000,21057.968750,20003.000000,18957.000000,17902.000000,16847.000000,15776.000000,14738.000000,13683.000000,12628.000000,11573.968750,10534.968750,9476.000000,8421.968750,7363.000000,6312.000000,5253.000000,4195.000000,3152.000000,2101.000000,1051.000000
31591.968750,30526.000000,29476.000000,28424.000000,27360.000000,26324.000000,25260.000000,24212.031250,23158.000000,22104.000000,21058.000000,20000.000000,18954.000000,17898.000000,16846.000000,15788.000000,14736.000000,13678.000000,12622.031250,11580.000000,10520.000000,9478.000000,8414.000000,7370.000000,6320.000000,5266.000000,4206.000000,3172.000000,2102.000000,1050.000000
31582.343750,30523.375000,29477.343750,28420.343750,27370.343750,26315.343750,25261.468750,24210.437500,23152.468750,22103.468750,21055.468750,19998.437500,18944.468750,17895.562500,16837.562500,15790.593750,14738.593750,13679.750000,12627.750000,11578.781250,10520.875000,9475.875000,8413.843750,7364.875000,6312.875000,5263.875000,4211.875000,3149.000000,2099.000000,1038.000000
31581.406250,30525.375000,29473.406250,28415.437500,27363.406250,26315.406250,25249.656250,24197.906250,23155.875000,22109.906250,21059.906250,20003.875000,18956.468750,17898.750000,16842.781250,15790.750000,14739.000000,13681.281250,12627.250000,11581.281250,10515.531250,9471.531250,8401.531250,7365.531250,6315.531250,5269.531250,4205.718750,3170.000000,2102.000000,1048.000000
20961.125000,20278.250000,19586.468750,18881.062500,18184.406250,17485.062500,16781.062500,16079.406250,15381.812500,14683.281250,13998.437500,13290.875000,12594.312500,11888.406250,11188.281250,10501.375000,9783.593750,9078.031250,8390.437500,7694.906250,6983.343750,6285.562500,5583.906250,4893.343750,4187.468750,3501.375000,2788.968750,2104.656250,1399.656250,686.000000
23120.781250,22367.656250,21603.875000,20826.468750,20057.781250,19286.312500,18510.312500,17735.625000,16965.937500,16195.218750,15439.468750,14660.812500,13891.187500,13113.281250,12341.093750,11581.593750,10790.781250,10014.125000,9254.593750,8488.093750,7702.531250,6932.750000,6160.031250,5397.375000,4618.500000,3861.437500,3076.031250,2320.656250,1543.656250,757.000000
98804.312500,95493.468750,92230.468750,88905.718750,85647.968750,82350.812500,79035.000000,75759.375000,72452.312500,69168.968750,65868.968750,62587.500000,59298.562500,55985.843750,52690.843750,49403.156250,46120.125000,42809.968750,39505.218750,36239.625000,32944.656250,29648.656250,26341.156250,23054.093750,19742.718750,16466.718750,13181.312500,9871.593750,6579.000000,3284.000000
