Channel Number,Angle of Rotation, Scale, X offset, Y offset, X component of X translated, Y Component of X translated,X component of Y translated, Y Component of Y translated,X Rotation Point,Y Rotation Point
2.000000,-2.900000,0.999000,-4.700000,-5.300000,0.999719,0.050644,-0.050644,0.999719,115.000000,57.500000
3.000000,3.000000,1.002000,-2.100000,-2.000000,0.996636,-0.052231,0.052231,0.996636,115.000000,57.500000
