X Drift, Y Drift
-0.500000,9.000000
-0.400000,8.000000
-0.400000,7.000000
-0.300000,6.000000
-0.200000,5.000000
-0.200000,4.000000
-0.200000,3.000000
-0.100000,2.000000
0.000000,1.000000
0.000000,0.000000
0.000000,-1.000000
0.100000,-1.900000
0.200000,-3.000000
0.200000,-4.200000
-0.700000,-0.700000
-10.800000,9.400000
-10.600000,8.400000
-10.400000,7.500000
-10.400000,6.400000
-10.300000,5.400000
-10.300000,4.500000
-10.200000,3.500000
-10.200000,2.500000
-10.200000,1.500000
-10.000000,0.500000
-10.000000,-0.500000
-10.000000,-1.500000
-9.900000,-2.500000
-9.800000,-3.500000
-9.800000,-4.500000
