X Drift, Y Drift
-0.126271,10.710931
-0.161171,9.711540
-0.096131,8.708660
-0.230970,7.712759
-0.165930,6.709878
-0.200829,5.710487
-0.235729,4.711097
-0.270628,3.711706
-0.305528,2.712315
-0.340427,1.712924
-0.475266,0.717023
-0.410226,-0.285857
-0.445126,-1.285248
-0.480025,-2.284639
-0.514925,-3.284030
-9.985341,12.055827
-9.916812,11.152885
-10.055140,10.057045
-10.090039,9.057654
-10.124939,8.058264
-10.159838,7.058873
-10.194737,6.059482
-10.229637,5.060091
-10.164598,4.057210
-10.299436,3.061310
-10.334335,2.061919
-10.369235,1.062528
-10.304195,0.059647
-10.339095,-0.939744
-10.373995,-1.939134
