x Centroid, y Centroid,Eccentricity, Length ,x Vector of major axis,Y Vector of major axis, Count,X Max Pos, Y Max Pos, Max Dist From Linear Fit, End 1 x,End 1 Y, End 2 X,End 2 Y,X bounding Box Min, X Bounding Box Max,Y bounding Box Min, Y Bounding Box Max,Min Separation
455.600006,112.400002,0.128220,4.242640,0.707107,0.707107,15.000000,455.000000,112.000000,1.980488,454.100006,110.900002,457.100006,113.899994,454.000000,457.000000,111.000000,114.000000,11.045361
184.142853,115.666664,0.134011,4.994292,0.770426,0.637530,21.000000,185.000000,116.000000,2.466789,182.052338,113.936752,185.900070,117.120766,182.000000,186.000000,114.000000,118.000000,10.000000
171.000000,116.800003,0.209431,2.000000,1.000000,0.000000,10.000000,171.000000,115.000000,1.798828,170.000000,116.800003,172.000000,116.800003,170.000000,172.000000,115.000000,118.000000,10.000000
78.272728,118.045456,0.080341,4.840466,0.380384,-0.924829,22.000000,79.000000,118.000000,2.341797,77.400986,120.164925,79.242218,115.688324,76.000000,80.000000,116.000000,120.000000,10.770329
236.230774,117.384613,0.091352,3.601470,0.857493,-0.514496,13.000000,236.000000,117.000000,1.820304,234.613129,118.355202,237.701355,116.502266,235.000000,238.000000,116.000000,119.000000,13.152946
21.357143,119.214287,0.222829,4.056386,0.412431,0.910989,14.000000,22.000000,118.000000,1.584962,20.464441,117.242462,22.137421,120.937782,20.000000,23.000000,117.000000,121.000000,6.324555
111.842102,124.157898,0.146262,4.242641,0.707107,0.707107,19.000000,113.000000,124.000000,1.898435,110.342102,122.657898,113.342102,125.657898,110.000000,114.000000,122.000000,126.000000,6.403124
375.000000,127.714287,0.297500,4.000000,1.000000,0.000000,14.000000,376.000000,127.000000,1.710938,373.000000,127.714287,377.000000,127.714287,373.000000,377.000000,126.000000,129.000000,11.401754
33.625000,131.187500,0.381978,4.981657,0.529336,-0.848412,16.000000,34.000000,131.000000,1.596671,32.355698,133.221924,34.992664,128.995422,32.000000,35.000000,129.000000,133.000000,13.928389
332.799988,138.000000,0.209431,3.000000,1.000000,0.000000,10.000000,334.000000,138.000000,1.000000,331.000000,138.000000,334.000000,138.000000,331.000000,334.000000,137.000000,139.000000,7.211102
133.850006,143.449997,0.183820,4.930523,0.888559,0.458763,20.000000,133.000000,144.000000,2.226557,131.798279,142.390701,136.179352,144.652634,132.000000,136.000000,141.000000,145.000000,14.866069
399.941162,144.588242,0.349240,4.891315,0.907031,0.421063,17.000000,400.000000,144.000000,1.675761,397.737579,143.565292,402.174164,145.624847,398.000000,402.000000,143.000000,146.000000,15.033297
179.611115,150.222229,0.212728,4.845507,0.384131,-0.923279,18.000000,179.000000,151.000000,1.964848,178.742874,152.309082,180.604187,147.835327,178.000000,181.000000,148.000000,152.000000,5.099020
470.000000,150.500000,0.387628,3.577709,0.447214,0.894427,10.000000,471.000000,150.000000,1.117195,469.200012,148.899994,470.799988,152.100006,469.000000,471.000000,149.000000,152.000000,14.764823
170.909088,154.090912,0.096344,4.949747,0.707107,-0.707107,22.000000,171.000000,154.000000,2.121091,169.000000,156.000000,172.500000,152.500000,169.000000,173.000000,152.000000,156.000000,5.099020
345.500000,156.166672,0.109771,5.522584,0.843471,0.537175,24.000000,345.000000,156.000000,2.636715,343.451141,154.861832,348.109283,157.828415,343.000000,348.000000,154.000000,158.000000,10.000000
187.250000,157.062500,0.118638,4.094268,0.355380,0.934722,16.000000,187.000000,157.000000,2.082031,186.533295,155.177444,187.988327,159.004440,185.000000,189.000000,155.000000,159.000000,6.403124
100.954544,158.272720,0.225398,5.318351,0.512587,-0.858635,22.000000,101.000000,158.000000,2.127915,99.503395,160.703537,102.229515,156.137009,99.000000,103.000000,156.000000,161.000000,10.000000
454.000000,159.826080,0.008316,4.000000,1.000000,0.000000,23.000000,454.000000,159.000000,2.171875,452.000000,159.826080,456.000000,159.826080,452.000000,456.000000,158.000000,162.000000,8.544003
299.071442,163.285721,0.338419,4.411287,0.808736,-0.588172,14.000000,300.000000,163.000000,1.671867,297.376831,164.518158,300.944397,161.923569,297.000000,301.000000,162.000000,165.000000,19.235384
33.062500,164.750000,0.238495,4.351270,0.641665,-0.766985,16.000000,33.000000,165.000000,1.937501,31.517700,166.596512,34.309761,163.259140,31.000000,35.000000,163.000000,167.000000,19.104973
199.863632,165.000000,0.106528,5.000000,1.000000,0.000000,22.000000,200.000000,166.000000,2.000000,197.000000,165.000000,202.000000,165.000000,197.000000,202.000000,163.000000,167.000000,10.630146
333.384613,164.384613,0.148009,3.535534,0.707107,0.707107,13.000000,334.000000,164.000000,1.414076,332.000000,163.000000,334.500000,165.500000,332.000000,335.000000,163.000000,166.000000,10.630146
394.380951,165.571426,0.335592,5.211299,0.992109,-0.125377,21.000000,394.000000,166.000000,1.730491,391.859741,165.890045,397.029907,165.236664,392.000000,397.000000,164.000000,167.000000,15.524175
184.928574,169.714279,0.338419,4.411287,0.808736,-0.588172,14.000000,186.000000,169.000000,1.669935,183.055603,171.076447,186.623169,168.481857,183.000000,187.000000,168.000000,171.000000,9.055386
347.500000,170.727280,0.327379,3.000000,1.000000,0.000000,22.000000,347.000000,170.000000,2.726563,346.000000,170.727280,349.000000,170.727280,346.000000,349.000000,168.000000,173.000000,8.062258
51.333332,178.791672,0.238681,5.830503,0.851037,-0.525106,24.000000,51.000000,179.000000,2.228523,49.103401,180.167587,54.065372,177.105957,49.000000,54.000000,177.000000,181.000000,15.033297
365.000000,180.000000,0.000000,4.000000,1.000000,0.000000,21.000000,365.000000,180.000000,2.000000,363.000000,180.000000,367.000000,180.000000,363.000000,367.000000,178.000000,182.000000,11.313708
343.882355,182.588242,0.220131,4.384007,0.965146,-0.261711,17.000000,345.000000,182.000000,1.761711,341.772339,183.160400,346.003540,182.013062,342.000000,346.000000,181.000000,184.000000,8.062258
271.192322,187.307693,0.095331,5.233395,0.989860,-0.142048,26.000000,271.000000,187.000000,2.496074,268.806274,187.650101,273.986603,186.906708,269.000000,274.000000,185.000000,190.000000,12.529964
250.615387,187.923080,0.069051,4.118439,0.196116,-0.980581,13.000000,250.000000,188.000000,1.761726,250.192307,190.038467,251.000000,186.000000,249.000000,252.000000,186.000000,190.000000,6.403124
377.049988,189.250000,0.230103,4.972149,0.732303,-0.680979,20.000000,377.000000,189.000000,1.929685,375.077942,191.083832,378.719086,187.697891,375.000000,379.000000,187.000000,191.000000,11.313708
103.000000,194.882355,0.155622,4.242183,0.717426,0.696635,17.000000,102.000000,194.000000,2.025388,101.529617,193.454575,104.573067,196.409836,101.000000,105.000000,193.000000,197.000000,21.840330
234.764709,197.058823,0.264923,4.217370,0.124161,-0.992262,17.000000,234.000000,198.000000,1.761716,234.513763,199.064285,235.037399,194.879547,233.000000,236.000000,195.000000,199.000000,14.764823
12.333333,200.944443,0.223932,4.994246,0.827855,0.560942,18.000000,13.000000,201.000000,1.983641,10.295618,199.563721,14.430130,202.365204,10.000000,14.000000,199.000000,203.000000,10.000000
289.000000,201.000000,0.000000,4.000000,1.000000,0.000000,21.000000,288.000000,201.000000,2.000000,287.000000,201.000000,291.000000,201.000000,287.000000,291.000000,199.000000,203.000000,17.204651
144.949997,204.750000,0.230103,4.972149,0.732303,-0.680979,20.000000,145.000000,205.000000,1.929685,143.280930,206.302094,146.922043,202.916168,143.000000,147.000000,203.000000,207.000000,7.810250
179.142853,206.190475,0.061030,4.792379,0.937885,0.346946,21.000000,179.000000,206.000000,2.351576,176.870560,205.349899,181.365265,207.012604,177.000000,181.000000,204.000000,208.000000,11.704700
399.045441,209.272720,0.080341,4.840466,0.924829,-0.380384,22.000000,399.000000,210.000000,2.335921,396.688324,210.242203,401.164917,208.400970,397.000000,401.000000,207.000000,211.000000,7.000000
23.750000,210.750000,0.038625,4.242640,0.707107,-0.707107,20.000000,24.000000,210.000000,2.475095,22.250000,212.250000,25.250000,209.250000,22.000000,26.000000,209.000000,213.000000,10.000000
135.272720,212.090912,0.258051,5.798330,0.798349,0.602196,22.000000,134.000000,211.000000,2.105467,133.299713,210.602661,137.928802,214.094391,133.000000,138.000000,210.000000,214.000000,7.810250
237.357147,231.785721,0.222829,4.056386,0.412431,-0.910989,14.000000,237.000000,233.000000,1.582023,236.464447,233.757538,238.137421,230.062210,236.000000,239.000000,230.000000,234.000000,7.071068
141.529419,232.882355,0.292893,4.973459,0.514496,0.857493,17.000000,141.000000,233.000000,1.890616,140.294128,230.823532,142.852951,235.088226,140.000000,143.000000,231.000000,235.000000,9.848858
108.714287,234.500000,0.020957,3.000000,1.000000,0.000000,14.000000,110.000000,235.000000,1.500000,107.000000,234.500000,110.000000,234.500000,107.000000,110.000000,233.000000,236.000000,16.492422
440.500000,236.000000,0.279528,4.856493,0.392489,0.919757,18.000000,441.000000,237.000000,1.773444,439.546936,233.766602,441.453064,238.233398,439.000000,442.000000,234.000000,238.000000,15.000000
327.611115,236.555557,0.175786,4.996491,0.629543,-0.776965,18.000000,328.000000,237.000000,2.234375,326.173248,238.330124,329.318756,234.448029,326.000000,330.000000,235.000000,239.000000,9.486833
165.133331,237.933334,0.191771,4.123036,0.236902,-0.971533,15.000000,166.000000,238.000000,1.828134,164.594070,240.144852,165.570816,236.139191,164.000000,167.000000,236.000000,240.000000,9.055386
209.500000,240.500000,0.000000,3.000000,1.000000,0.000000,12.000000,209.000000,241.000000,1.500000,208.000000,240.500000,211.000000,240.500000,208.000000,211.000000,239.000000,242.000000,22.360680
273.894745,241.421051,0.103461,4.454065,0.525731,0.850651,19.000000,274.000000,242.000000,2.007824,272.735535,239.545410,275.077179,243.334274,272.000000,276.000000,239.000000,244.000000,7.280110
473.111115,246.111115,0.172321,4.043423,0.022205,-0.999753,18.000000,474.000000,246.000000,2.093745,473.068634,248.023727,473.158417,243.981308,471.000000,475.000000,244.000000,248.000000,17.000000
245.444443,248.833328,0.077630,4.265963,0.158152,-0.987415,18.000000,245.000000,248.000000,2.546881,245.094971,251.015213,245.769638,246.802933,243.000000,247.000000,247.000000,251.000000,5.099020
63.549999,249.899994,0.130223,4.788050,0.344111,-0.938929,20.000000,63.000000,250.000000,2.335925,62.687958,252.252136,64.335579,247.756500,62.000000,66.000000,248.000000,252.000000,7.000000
386.684204,249.631577,0.173557,4.870668,0.914891,-0.403701,19.000000,387.000000,250.000000,2.164071,384.399719,250.639618,388.855865,248.673325,385.000000,389.000000,248.000000,252.000000,17.000000
407.285706,250.500000,0.020957,3.000000,1.000000,0.000000,14.000000,407.000000,251.000000,1.500000,406.000000,250.500000,409.000000,250.500000,406.000000,409.000000,249.000000,252.000000,17.000000
313.142853,252.214279,0.300856,4.121136,0.212441,-0.977174,14.000000,314.000000,252.000000,1.554692,312.720581,254.156662,313.596069,250.129593,312.000000,315.000000,250.000000,254.000000,7.615773
270.666656,252.857147,0.134011,4.994292,0.637529,-0.770426,21.000000,271.000000,253.000000,2.468719,268.936737,254.947662,272.120758,251.099930,269.000000,273.000000,251.000000,255.000000,7.280110
100.090912,253.909088,0.096344,4.949747,0.707107,-0.707107,22.000000,100.000000,254.000000,2.121091,98.500000,255.500000,102.000000,252.000000,98.000000,102.000000,252.000000,256.000000,5.099020
20.000000,258.500000,0.387628,3.577709,0.447214,-0.894427,10.000000,19.000000,258.000000,1.118151,19.200001,260.100006,20.799999,256.899994,19.000000,21.000000,257.000000,260.000000,10.000000
39.733334,261.666656,0.166608,4.081442,0.102516,0.994731,15.000000,38.000000,261.000000,1.757832,39.555668,259.942719,39.974083,264.002686,38.000000,41.000000,260.000000,264.000000,12.369317
326.047607,264.809509,0.161022,4.999590,0.807618,-0.589706,21.000000,326.000000,266.000000,2.109357,324.145081,266.198700,328.182831,263.250397,324.000000,328.000000,263.000000,267.000000,14.142136
54.857143,266.285706,0.252347,4.054409,0.062139,0.998068,14.000000,55.000000,267.000000,1.835919,54.715939,264.017700,54.967876,268.064270,53.000000,56.000000,264.000000,268.000000,12.369317
346.500000,268.500000,0.221501,5.099020,0.196116,-0.980581,18.000000,346.000000,269.000000,1.765611,346.000000,271.000000,347.000000,266.000000,345.000000,348.000000,266.000000,271.000000,7.071068
100.947365,277.210541,0.288498,4.981657,0.666262,-0.745718,19.000000,102.000000,277.000000,1.978504,99.193840,279.173187,102.512924,275.458282,99.000000,103.000000,275.000000,279.000000,6.000000
118.500000,280.272736,0.156621,5.000000,1.000000,0.000000,22.000000,118.000000,281.000000,2.273438,116.000000,280.272736,121.000000,280.272736,116.000000,121.000000,278.000000,282.000000,6.324555
295.352936,281.470581,0.124919,4.314555,0.980581,0.196116,17.000000,296.000000,281.000000,1.765611,293.000000,281.000000,297.230774,281.846161,293.000000,297.000000,280.000000,283.000000,16.000000
435.250000,283.500000,0.214094,5.321776,0.974364,-0.224979,24.000000,435.000000,283.000000,2.273436,432.785065,284.069153,437.970398,282.871857,433.000000,438.000000,281.000000,286.000000,5.385165
445.071442,286.571442,0.206089,4.095049,0.935295,0.353869,14.000000,445.000000,287.000000,1.710917,443.070251,285.814301,446.900330,287.263397,443.000000,447.000000,285.000000,288.000000,5.385165
323.666656,292.799988,0.188477,4.471022,0.904186,0.427139,15.000000,324.000000,293.000000,1.796905,321.995117,292.010345,326.037750,293.920105,322.000000,326.000000,291.000000,294.000000,22.825424
394.958344,294.333344,0.145911,5.040880,0.046226,-0.998931,24.000000,395.000000,294.000000,2.078123,394.835297,296.992371,395.068329,291.956879,393.000000,397.000000,292.000000,297.000000,5.656854
60.166668,295.083344,0.393398,4.109713,0.986524,0.163617,12.000000,60.000000,295.000000,1.203129,58.044548,294.731384,62.098881,295.403809,58.000000,62.000000,294.000000,296.000000,7.211102
252.086960,296.086945,0.235862,5.445686,0.872108,0.489314,23.000000,253.000000,295.000000,2.203133,249.609100,294.696686,254.358337,297.361328,250.000000,255.000000,294.000000,298.000000,13.928389
409.000000,298.500000,0.120743,3.660516,0.749678,0.661802,14.000000,408.000000,298.000000,1.789079,407.627899,297.288727,410.372101,299.711273,407.000000,411.000000,297.000000,300.000000,10.440307
169.083328,301.083344,0.087129,5.656855,0.707107,-0.707107,24.000000,169.000000,301.000000,2.714870,167.083344,303.083344,171.083328,299.083344,167.000000,171.000000,299.000000,303.000000,17.000000
284.750000,300.750000,0.038625,4.242640,0.707107,-0.707107,20.000000,285.000000,301.000000,2.468801,283.250000,302.250000,286.250000,299.250000,283.000000,287.000000,299.000000,303.000000,6.000000
388.142853,301.928558,0.398093,4.464076,0.392732,-0.919653,14.000000,388.000000,301.000000,1.414071,387.218414,304.093262,388.971619,299.987885,387.000000,390.000000,300.000000,304.000000,5.656854
53.136364,303.545441,0.141079,4.987425,0.541789,0.840515,22.000000,53.000000,303.000000,2.403318,51.805500,301.480774,54.507633,305.672791,51.000000,55.000000,301.000000,306.000000,7.211102
348.545441,304.227264,0.242931,5.317026,0.513924,-0.857836,22.000000,348.000000,304.000000,2.156234,347.178986,306.508148,349.911530,301.946991,346.000000,351.000000,302.000000,307.000000,9.219544
377.000000,307.500000,0.269703,2.000000,1.000000,0.000000,12.000000,378.000000,308.000000,1.500000,376.000000,307.500000,378.000000,307.500000,376.000000,378.000000,306.000000,309.000000,9.219544
76.882355,311.470581,0.292893,4.973459,0.857493,-0.514496,17.000000,77.000000,312.000000,1.886722,74.823524,312.705872,79.088234,310.147064,75.000000,79.000000,310.000000,313.000000,16.763054
146.086960,313.217377,0.121439,5.030671,0.353502,0.935434,23.000000,145.000000,313.000000,2.230489,145.217896,310.917664,146.996246,315.623505,144.000000,148.000000,311.000000,316.000000,7.810250
260.875000,312.250000,0.386850,5.054252,0.946041,0.324047,16.000000,261.000000,312.000000,1.609375,258.225250,311.342377,263.006775,312.980194,258.000000,263.000000,311.000000,314.000000,13.928389
356.307678,314.538452,0.195600,4.118439,0.980581,-0.196116,13.000000,357.000000,313.000000,1.570300,354.000000,315.000000,358.038452,314.192291,354.000000,358.000000,313.000000,316.000000,9.219544
195.117645,319.000000,0.399012,4.989732,0.759924,0.650012,17.000000,194.000000,318.000000,1.488276,193.400772,317.531464,197.192596,320.774841,193.000000,197.000000,317.000000,321.000000,11.000000
180.173920,320.000000,0.008316,4.000000,1.000000,0.000000,23.000000,180.000000,319.000000,2.000000,178.000000,320.000000,182.000000,320.000000,178.000000,182.000000,318.000000,322.000000,11.000000
138.500000,321.500000,0.000000,3.000000,1.000000,0.000000,12.000000,139.000000,321.000000,1.500000,137.000000,321.500000,140.000000,321.500000,137.000000,140.000000,320.000000,323.000000,7.810250
242.607147,323.178558,0.130452,5.755695,0.928819,0.370533,28.000000,242.000000,323.000000,2.539056,239.952332,322.119476,245.298340,324.252167,240.000000,245.000000,321.000000,326.000000,16.401220
484.678558,323.892853,0.392923,6.565363,0.254096,-0.967179,28.000000,485.000000,322.000000,2.109349,483.806580,327.211914,485.474823,320.862030,483.000000,487.000000,321.000000,327.000000,13.601471
24.600000,326.600006,0.128220,4.242641,0.707107,-0.707107,15.000000,24.000000,326.000000,1.979511,23.100002,328.100006,26.100004,325.100006,23.000000,26.000000,325.000000,328.000000,11.180340
417.750000,332.562500,0.201281,4.470753,0.883027,-0.469323,16.000000,417.000000,334.000000,1.859370,415.789734,333.604370,419.737518,331.506134,416.000000,420.000000,331.000000,334.000000,10.816654
173.095245,339.428558,0.252029,5.377579,0.420133,-0.907463,21.000000,173.000000,340.000000,2.082014,171.921555,341.963684,174.180847,337.083740,171.000000,175.000000,337.000000,342.000000,7.000000
195.000000,339.826080,0.008316,4.000000,1.000000,0.000000,23.000000,194.000000,340.000000,2.171875,193.000000,339.826080,197.000000,339.826080,193.000000,197.000000,338.000000,342.000000,7.000000
477.090912,341.909088,0.096344,4.949747,0.707107,-0.707107,22.000000,476.000000,342.000000,2.125044,475.500000,343.500000,479.000000,340.000000,475.000000,479.000000,340.000000,344.000000,13.601471
369.153839,348.538452,0.138725,3.389965,0.238134,0.971232,13.000000,368.000000,349.000000,1.687519,368.732574,346.820374,369.539856,350.112823,368.000000,371.000000,347.000000,350.000000,9.219544
382.047607,352.190491,0.161022,4.999590,0.807618,0.589706,21.000000,382.000000,352.000000,2.109357,380.145081,350.801300,384.182831,353.749603,380.000000,384.000000,350.000000,354.000000,9.219544
357.000000,354.857147,0.161119,4.996697,0.628678,0.777666,21.000000,357.000000,355.000000,2.124958,355.301575,352.756195,358.442871,356.641968,355.000000,359.000000,353.000000,357.000000,5.830952
130.217392,356.695648,0.248567,5.379341,0.327821,-0.944740,23.000000,130.000000,357.000000,2.109390,129.372894,359.129395,131.136353,354.047302,128.000000,132.000000,354.000000,359.000000,6.324555
261.705872,355.882355,0.169894,4.274374,0.164399,0.986394,17.000000,261.000000,356.000000,1.867197,261.381561,353.936401,262.084259,358.152618,260.000000,263.000000,354.000000,358.000000,10.000000
274.636353,355.909088,0.294233,3.416839,0.965606,0.260011,11.000000,274.000000,356.000000,1.226562,272.882385,355.436798,276.181702,356.325195,273.000000,276.000000,355.000000,357.000000,10.000000
27.200001,359.200012,0.315698,4.081823,0.042739,-0.999086,15.000000,28.000000,358.000000,1.832034,27.120949,361.047943,27.295403,356.969849,26.000000,29.000000,357.000000,361.000000,10.198039
444.909088,361.090912,0.096344,4.949747,0.707107,-0.707107,22.000000,445.000000,361.000000,2.125044,443.000000,363.000000,446.500000,359.500000,443.000000,447.000000,359.000000,363.000000,13.601471
40.857143,363.071442,0.369898,4.449782,0.845298,0.534295,14.000000,42.000000,364.000000,1.553705,39.046257,361.926819,42.807648,364.304321,39.000000,43.000000,361.000000,365.000000,10.198039
406.818176,362.545441,0.335705,3.576020,0.656431,-0.754386,11.000000,406.000000,362.000000,1.187491,405.745331,363.778381,408.092743,361.080688,405.000000,408.000000,361.000000,364.000000,22.847319
84.407410,364.925934,0.180034,5.530528,0.976328,0.216296,27.000000,84.000000,365.000000,2.328123,81.705917,364.327454,87.105522,365.523682,82.000000,87.000000,363.000000,367.000000,13.416408
461.578949,367.105255,0.225261,4.565973,0.221898,-0.975070,19.000000,460.000000,367.000000,1.796882,461.091248,369.248322,462.104431,364.796204,460.000000,463.000000,365.000000,369.000000,13.601471
376.833344,367.500000,0.179154,3.998556,0.881675,0.471858,12.000000,375.000000,367.000000,1.718733,375.200195,366.625946,378.725616,368.512695,375.000000,379.000000,366.000000,369.000000,11.045361
248.357147,374.571442,0.185918,4.113365,0.175318,0.984512,14.000000,248.000000,373.000000,1.718773,248.044205,372.814056,248.765350,376.863708,247.000000,250.000000,373.000000,377.000000,6.403124
259.100006,377.299988,0.148464,4.807274,0.934142,0.356902,20.000000,259.000000,377.000000,2.109372,256.834076,376.434265,261.324768,378.149994,257.000000,261.000000,375.000000,379.000000,7.071068
129.500000,377.714294,0.020957,3.000000,1.000000,0.000000,14.000000,130.000000,378.000000,1.714844,128.000000,377.714294,131.000000,377.714294,128.000000,131.000000,376.000000,379.000000,10.630146
188.000000,378.500000,0.325665,4.999058,0.788205,-0.615412,16.000000,187.000000,379.000000,1.804678,186.029861,380.038239,189.970139,376.961761,186.000000,190.000000,377.000000,380.000000,14.212670
57.714287,379.500000,0.020957,3.000000,1.000000,0.000000,14.000000,58.000000,379.000000,1.500000,56.000000,379.500000,59.000000,379.500000,56.000000,59.000000,378.000000,381.000000,13.000000
374.000000,382.291656,0.073786,4.000000,1.000000,0.000000,24.000000,374.000000,382.000000,2.703125,372.000000,382.291656,376.000000,382.291656,372.000000,376.000000,380.000000,385.000000,11.045361
