X Drift, Y Drift
-0.881698,10.709021
-0.745892,9.710071
-0.710336,8.707566
-0.674780,7.705062
-0.739475,6.699002
-0.603669,5.700053
-0.568113,4.697549
-0.532558,3.695045
-0.497002,2.692540
-0.461446,1.690035
-0.425891,0.687531
-0.390335,-0.314974
-0.354779,-1.317478
-0.319224,-2.319982
-0.283668,-3.322487
-10.842048,11.359524
-10.810047,10.457270
-10.670686,9.358069
-10.735380,8.352010
-10.699825,7.349505
-10.664269,6.347001
-10.528463,5.348052
-10.593158,4.341992
-10.457352,3.343043
-10.522047,2.336983
-10.486491,1.334479
-10.450935,0.331974
-10.415380,-0.670530
-10.379824,-1.673035
-10.344269,-2.675539
