X Drift, Y Drift
-0.500000,10.700000
-0.400000,9.700000
-0.400000,8.700000
-0.400000,7.700000
-0.500000,6.700000
-0.400000,5.700000
-0.400000,4.700000
-0.400000,3.700000
-0.400000,2.700000
-0.400000,1.700000
-0.400000,0.700000
-0.400000,-0.300000
-0.400000,-1.300000
-0.400000,-2.300000
-0.400000,-3.300000
-10.400000,11.700000
-10.400000,10.800000
-10.300000,9.700000
-10.400000,8.700000
-10.400000,7.700000
-10.400000,6.700000
-10.300000,5.700000
-10.400000,4.700000
-10.300000,3.700000
-10.400000,2.700000
-10.400000,1.700000
-10.400000,0.700000
-10.400000,-0.300000
-10.400000,-1.300000
-10.400000,-2.300000
