Channel Number,Angle of Rotation, Scale, X offset, Y offset, X component of X translated, Y Component of X translated,X component of Y translated, Y Component of Y translated,X Rotation Point,Y Rotation Point
2.000000,-1.781250,0.996875,-14.600000,9.000000,1.002650,0.031181,-0.031181,1.002650,115.000000,57.500000
3.000000,1.750000,0.994375,-5.300000,-4.300000,1.005188,-0.030711,0.030711,1.005188,115.000000,57.500000
